,artist.hotttnesss,bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,familiarity,key,key_confidence,latitude,longitude,loudness,mode,mode_confidence,song.hotttnesss,start_of_fade_out,tatums_confidence,tatums_start,tempo,terms_freq,time_signature,time_signature_confidence,year
23,0.5418889720000001,0.027000000000000003,1.0669799999999998,0.9309999999999999,0.33578,207.77751,0.061,3915,7.0,0.381,40.826240000000006,-74.47995,-4.263999999999999,1,0.45299999999999996,1.0,204.696,0.654,0.15349000000000002,166.862,0.9443812079999999,4.0,0.0,2004
24,0.306242264,0.006,0.70311,0.5870000000000001,0.26705999999999996,124.86485,0.0,932,10.0,0.6970000000000001,37.83721,-94.35868,-12.332,1,0.541,0.0,115.74,1.0,0.04025,137.52200000000002,0.979853486,4.0,0.0,1985
25,0.363651365,0.857,0.08901,0.857,0.08901,225.09669,0.0,2801,7.0,0.53,37.15735675013362,-63.93335786851952,-5.9079999999999995,1,0.512,0.0,225.097,0.24,0.08901,164.672,0.9536739059999999,1.0,0.0,0
29,0.299230368,0.096,0.97531,0.987,0.3393,156.39465,0.562,605,8.0,0.569,40.731970000000004,-74.17418,-18.051,1,0.495,0.0,150.634,0.67,0.3393,95.95700000000001,1.0,3.0,0.6890000000000001,1961
30,0.416173065,0.145,0.9690799999999999,0.708,0.42073,342.56934,0.063,3477,6.0,0.381,41.88415,-87.63241,-11.939,1,0.5379999999999999,0.0,333.154,0.462,0.13835999999999998,110.189,0.985011245,3.0,0.353,1972
31,0.45278947700000005,0.042,0.56075,0.0,0.56075,484.62322,28.171999999999997,2264,4.0,0.28300000000000003,27.940170000000002,-82.32547,-15.335,0,0.363,0.0,480.36300000000006,0.057,0.56075,138.007,1.0,4.0,0.893,0
32,0.418216518,0.812,0.10131,0.812,0.10131,164.80608,0.0,3095,10.0,0.254,40.7038,-73.83168,-10.922,1,0.042,0.0,156.17700000000002,0.879,0.10131,130.1,0.922774628,1.0,0.0,1964
33,0.384611084,0.0,0.24118,0.0,0.24118,133.32853,0.0,1893,4.0,0.384,30.08615,-94.10158,-9.982999999999999,1,0.402,0.0,130.009,0.515,0.048510000000000005,160.839,0.984993496,1.0,0.0,1992
36,0.48801984200000004,0.035,0.2438,0.604,0.2438,450.84689000000003,0.467,3830,4.0,0.726,29.424490000000002,-98.49462,-9.062999999999999,0,0.36700000000000005,1.0,426.10400000000004,0.267,0.09307,130.586,1.0,4.0,0.42,0
38,0.38265197100000004,0.359,0.77461,0.773,0.77461,128.83546,0.0,2689,3.0,0.0,37.15735675013362,-63.93335786851952,-17.699,1,0.251,0.0,121.42299999999999,0.302,0.77461,90.932,0.842995301,3.0,1.0,0
39,0.294861262,0.23800000000000002,0.9204700000000001,0.9079999999999999,0.23284000000000002,456.30649000000005,0.24100000000000002,1544,1.0,0.611,37.15735675013362,-63.93335786851952,-19.477999999999998,1,0.546,0.0,451.315,0.0,0.06094,89.667,0.878319228,4.0,0.747,0
40,0.393121934,0.379,0.73465,0.268,0.28881,198.73914,0.0,1931,7.0,0.6729999999999999,34.053490000000004,-118.24531999999999,-7.468999999999999,1,0.579,0.0,193.016,0.461,0.14044,115.061,0.974033549,4.0,0.731,2007
41,0.467538444,0.987,0.90181,0.47100000000000003,0.38075,95.68608,0.0,3255,2.0,0.42100000000000004,42.33168,-83.04791999999999,-2.022,1,0.589,1.0,87.806,0.84,0.12215,115.887,1.0,4.0,0.7440000000000001,2003
42,0.7357656929999999,0.797,0.15016,0.797,0.15016,271.49016,0.171,3844,9.0,0.301,51.50632,-0.12714,-10.357999999999999,0,0.392,1.0,263.784,0.018000000000000002,0.15016,139.333,0.999983058,1.0,0.0,0
43,0.350078579,0.016,0.86592,0.917,0.34973000000000004,226.66404,0.311,1397,0.0,0.863,37.15735675013362,-63.93335786851952,-12.716,1,0.6709999999999999,0.0,219.51,0.6459999999999999,0.34973000000000004,117.271,1.0,4.0,0.45299999999999996,0
44,0.442765842,0.077,1.5666200000000001,0.799,0.37554,190.48443999999998,0.258,3217,3.0,0.544,35.914629999999995,-79.05660999999999,-15.663,1,0.596,1.0,177.02900000000002,0.537,0.37554,102.428,1.0,4.0,0.496,1995
45,0.466628889,0.002,0.9365899999999999,0.885,0.275,277.78567000000004,0.24,3450,2.0,0.0,34.36401,-89.51876999999999,-6.944,1,0.0,0.0,267.453,0.963,0.275,89.984,0.980350471,4.0,0.0,2004
48,0.39421719899999996,0.002,0.74575,0.706,0.32409,175.72526000000002,0.7340000000000001,3237,0.0,0.522,37.15735675013362,-63.93335786851952,-10.93,1,0.474,1.0,168.699,1.0,0.11431,141.91899999999998,0.877629027,4.0,0.445,2006
50,0.47930845899999996,0.877,0.12284,0.877,0.12284,344.05832000000004,0.068,3525,11.0,0.425,37.15735675013362,-63.93335786851952,-9.253,1,0.486,1.0,335.029,0.56,0.12284,154.953,0.998786077,1.0,0.0,1974
51,0.427914247,0.068,2.9094599999999997,0.675,0.14772000000000002,251.42812,0.071,3258,7.0,0.391,-23.56287,-46.65466,-12.009,1,0.319,0.0,237.59799999999998,0.228,0.14772000000000002,86.09100000000001,1.0,5.0,0.551,2009
52,0.41224060100000004,0.267,0.34237,1.0,0.34237,269.7922,0.218,2373,7.0,0.715,37.15735675013362,-63.93335786851952,-11.043,1,0.614,0.0,257.416,0.466,0.34237,90.21799999999999,1.0,4.0,1.0,1997
55,0.500691341,0.386,0.42366000000000004,0.0,0.0889,241.162,0.5489999999999999,3114,9.0,0.222,37.15735675013362,-63.93335786851952,-8.531,1,0.40299999999999997,1.0,230.342,0.5870000000000001,0.0889,180.149,0.961375214,4.0,0.0,1986
56,0.338414819,0.102,0.49054,0.0,0.49054,122.64443999999999,0.99,705,0.0,0.61,37.15735675013362,-63.93335786851952,-8.541,0,0.489,0.0,109.62700000000001,0.41100000000000003,0.058120000000000005,102.538,0.9479301179999999,4.0,0.8690000000000001,1966
57,0.5236990779999999,0.45299999999999996,8.99358,0.777,2.31778,207.0722,2.583,3651,0.0,0.442,51.50632,-0.12714,-6.629,1,0.371,0.0,202.757,0.516,2.31778,84.164,0.947914829,4.0,0.853,1985
58,0.38352424700000004,0.008,1.1612,0.379,0.67535,300.79955,0.0,2150,7.0,0.6659999999999999,54.48303000000001,-3.53444,-13.33,1,0.6579999999999999,1.0,298.347,0.249,0.42141999999999996,124.175,1.0,4.0,0.698,1995
59,0.48165586200000005,0.632,0.029089999999999998,0.632,0.029089999999999998,228.46649,0.0,3642,7.0,0.45799999999999996,37.15735675013362,-63.93335786851952,-12.412,1,0.602,0.0,228.46599999999998,0.513,0.029089999999999998,137.004,1.0,1.0,0.0,1997
60,0.38070453600000004,0.114,0.9661700000000001,0.526,0.3834,239.59465,0.311,3016,7.0,0.527,37.77916,-122.42005,-21.552,1,0.613,0.0,236.507,0.488,0.08155,106.33,0.920584126,4.0,0.526,0
62,0.45755391,0.23399999999999999,0.38387,0.0,0.38387,165.61587,2.171,3253,1.0,0.10800000000000001,-37.81753,144.96715,-6.222,1,0.256,0.0,165.61599999999999,0.115,0.21141999999999997,174.287,0.932857594,3.0,0.132,2000
63,0.788805935,0.109,1.18583,1.0,0.15225999999999998,187.92444,0.32799999999999996,3938,0.0,0.612,36.16778,-86.77835999999999,-5.907,1,0.735,1.0,180.34400000000002,0.784,0.15225999999999998,116.823,1.0,4.0,0.34700000000000003,2003
64,0.30004649,0.018000000000000002,1.1958,0.611,0.01968,276.50567,0.299,675,0.0,0.29,37.15735675013362,-63.93335786851952,-4.638,1,0.389,0.0,261.95599999999996,0.6559999999999999,0.01968,101.97200000000001,1.0,4.0,1.0,0
66,0.554291489,0.081,0.76754,0.644,0.29609,144.50893,0.237,3740,4.0,0.09300000000000001,37.15735675013362,-63.93335786851952,-7.787000000000001,0,0.423,1.0,140.05700000000002,0.8290000000000001,0.0586,152.622,1.0,4.0,0.358,1992
68,0.46682699299999997,0.39299999999999996,1.74155,0.872,0.67947,246.69995,0.322,3501,7.0,0.161,37.15735675013362,-63.93335786851952,-9.603,1,0.205,1.0,224.049,0.39899999999999997,0.42263,112.90299999999999,1.0,4.0,1.0,1990
69,0.30045446,0.066,0.36508,0.948,0.36508,84.03546,0.32799999999999996,1020,7.0,0.469,-24.9162,133.39311,-26.266,1,0.591,0.0,75.79,0.386,0.11188,115.64200000000001,1.0,4.0,0.44,1985
70,0.266275286,0.023,1.21595,1.0,0.25377,273.52771,2.177,626,1.0,0.652,37.15735675013362,-63.93335786851952,-6.305,1,0.6940000000000001,0.0,268.893,0.6409999999999999,0.25377,125.01299999999999,0.942755424,4.0,1.0,2000
71,0.337507289,0.0,0.36873,0.44299999999999995,0.36873,298.84036000000003,19.093,1334,5.0,0.596,37.15735675013362,-63.93335786851952,-9.998,1,0.5670000000000001,0.0,289.46,0.0,0.16818,113.277,1.0,4.0,0.872,0
72,0.36366811,0.036000000000000004,0.98426,0.883,0.36334,161.38404,0.165,2889,5.0,0.665,18.11526,-77.27348,-9.161,0,0.606,0.0,161.384,0.262,0.053270000000000005,96.979,0.892334368,4.0,0.895,1997
73,0.579988982,0.812,0.34761,0.812,0.34761,209.29261,0.0,3623,8.0,0.455,37.15735675013362,-63.93335786851952,-4.865,1,0.48,1.0,206.623,0.775,0.14268,140.995,0.999932033,1.0,0.41,0
74,1.005941966,0.9329999999999999,1.1904,0.6920000000000001,0.63902,229.61587000000003,0.0,3937,11.0,0.205,37.15735675013362,-63.93335786851952,-4.882,0,0.332,1.0,213.66400000000002,0.41,0.36332,105.206,1.0,4.0,1.0,2004
75,0.598458501,0.018000000000000002,1.76242,1.0,0.80838,426.89261,0.28600000000000003,4018,0.0,0.05,41.504709999999996,-81.69074,-12.950999999999999,0,0.395,1.0,399.9,1.0,0.33137,63.016999999999996,0.999945289,4.0,0.37799999999999995,2000
77,0.139247394,0.319,0.50432,0.0,0.14912,249.41669,0.647,686,2.0,0.883,37.15735675013362,-63.93335786851952,-6.693,1,0.728,0.0,238.43400000000003,0.662,0.14912,167.92,1.0,4.0,0.75,0
79,0.322485106,0.009000000000000001,0.64544,1.0,0.19347999999999999,233.27302000000003,0.386,2285,0.0,0.53,37.15735675013362,-63.93335786851952,-2.658,1,0.501,0.0,231.178,0.89,0.19347999999999999,132.02200000000002,0.9812672040000001,4.0,0.782,2001
80,0.335651839,0.87,0.302,0.87,0.302,187.24526,0.107,1375,1.0,0.8420000000000001,37.15735675013362,-63.93335786851952,-4.42,1,0.721,0.0,178.625,0.598,0.13943,183.92,0.939709535,1.0,0.063,2005
84,0.34328188200000004,0.635,0.5251899999999999,0.635,0.5251899999999999,194.11546,0.08900000000000001,1089,5.0,1.0,35.82213,-88.91599000000001,-15.581,1,0.8859999999999999,0.0,182.729,0.479,0.15887,82.34299999999999,0.998410062,1.0,0.387,2002
87,0.552413346,0.002,0.68393,1.0,0.15338,288.41751,0.113,3803,2.0,0.08,37.15735675013362,-63.93335786851952,-8.165,1,0.665,1.0,279.17900000000003,1.0,0.15338,115.60600000000001,0.9206860509999999,4.0,0.0,2005
89,0.398547535,0.02,0.72006,0.779,0.18905,283.76771,0.0,2756,2.0,0.823,53.4796,-2.2488099999999998,-8.7,1,0.69,1.0,271.83,1.0,0.18905,113.677,0.99732938,4.0,1.0,1990
90,0.42141510299999996,0.069,1.76995,0.725,0.38749,239.3073,0.182,1138,2.0,0.569,37.15735675013362,-63.93335786851952,-5.757999999999999,1,0.601,1.0,220.264,0.542,0.04274,86.93799999999999,0.92892821,4.0,0.222,0
91,0.404182207,0.07,0.55647,1.0,0.13404000000000002,206.75873,0.096,2085,0.0,0.613,37.15735675013362,-63.93335786851952,-4.907,1,0.6559999999999999,0.0,193.115,0.843,0.13404000000000002,141.936,1.0,4.0,0.634,0
94,0.493566843,0.057999999999999996,2.95336,0.579,0.65164,124.18567,0.0,3619,1.0,0.07400000000000001,37.15735675013362,-63.93335786851952,-10.296,0,0.49200000000000005,1.0,121.005,0.0,0.16161,85.008,1.0,5.0,1.0,2001
98,0.316354001,0.043,1.38242,0.7609999999999999,0.33359,223.4771,0.29100000000000004,880,0.0,0.0,56.153,10.20452,-14.437999999999999,1,0.138,0.0,220.02599999999998,0.7829999999999999,0.33359,112.006,0.942971915,4.0,0.8440000000000001,1961
99,0.317833879,0.99,10.84083,0.0,1.34066,443.24526,0.23,859,1.0,0.0,31.846659999999996,-91.65700000000001,-13.002,1,0.051,0.0,430.736,0.703,0.33736,45.527,0.9852701229999999,4.0,0.0,0
102,0.432011947,0.233,0.95031,0.0,0.38454,324.44036,0.0,2251,7.0,0.5579999999999999,37.15735675013362,-63.93335786851952,-11.829,1,0.718,0.0,312.23900000000003,0.0,0.38454,216.195,1.0,5.0,1.0,1995
103,0.325148571,0.09300000000000001,0.8598,0.616,0.41286999999999996,275.12118,0.34,965,7.0,0.6990000000000001,36.16778,-86.77835999999999,-6.29,1,0.527,0.0,272.933,0.741,0.41286999999999996,132.428,0.949727911,4.0,0.281,0
104,0.41489261200000005,0.079,0.15435,0.0,0.15435,294.66077,0.8640000000000001,2452,5.0,0.23800000000000002,37.77916,-122.42005,-15.761,0,0.07,0.0,282.564,0.513,0.15435,168.30700000000002,1.0,4.0,0.0,0
106,0.384184259,0.053,0.6235,1.0,0.16237000000000001,357.82485,0.131,2072,1.0,0.485,37.15735675013362,-63.93335786851952,-5.7010000000000005,1,0.42700000000000005,1.0,353.785,1.0,0.16237000000000001,130.016,0.947705021,5.0,1.0,1991
107,0.41267163100000004,0.005,0.41053999999999996,1.0,0.0684,198.3473,0.201,3339,11.0,0.306,37.15735675013362,-63.93335786851952,-8.709,0,0.22,0.0,182.18400000000003,0.603,0.0684,175.769,1.0,4.0,0.7,1997
108,0.628246419,0.08199999999999999,0.2688,0.871,0.2688,261.95546,0.0,2862,7.0,0.96,37.15735675013362,-63.93335786851952,-13.627,1,0.634,0.0,253.452,0.799,0.2688,100.194,0.939349522,3.0,1.0,2005
113,0.28404741,0.132,1.49595,0.612,0.42141999999999996,171.49342,0.085,902,2.0,0.45,40.99471,-77.60454,-37.398,1,0.685,0.0,165.21599999999998,0.531,0.1441,109.823,0.9864766620000001,3.0,0.659,0
114,0.343185045,0.836,0.63247,0.836,0.63247,266.05669,0.23,1783,1.0,0.9359999999999999,40.71455,-74.00712,-13.835999999999999,1,0.763,0.0,256.064,0.809,0.26631,90.101,0.929447888,1.0,0.0,0
115,0.601184942,0.6659999999999999,1.00904,0.853,0.49144,329.27302000000003,0.45,3778,8.0,0.49700000000000005,37.15735675013362,-63.93335786851952,-7.103,1,0.491,0.0,322.101,0.94,0.23264,116.473,1.0,4.0,1.0,1994
116,0.0,0.026000000000000002,0.9732200000000001,0.469,0.49835,198.922,0.228,1142,9.0,0.0,35.4948,-85.01235,-13.495,0,0.094,0.0,190.705,0.5,0.26092,126.821,1.0,4.0,0.0,0
117,0.422472423,0.212,1.46125,0.741,0.36893000000000004,283.21914,0.258,3202,2.0,0.499,41.88415,-87.63241,-15.144,1,0.652,1.0,277.467,0.462,0.0982,111.191,0.9235526009999999,3.0,0.851,1971
119,0.437964733,0.812,0.49593999999999994,0.812,0.49593999999999994,254.06649,0.43,3178,4.0,0.446,37.15735675013362,-63.93335786851952,-6.01,0,0.38299999999999995,0.0,249.562,0.875,0.24195,137.888,1.0,1.0,0.0,1999
122,0.40350967299999996,0.059000000000000004,0.44814,0.0,0.09927000000000001,162.53342,0.524,2950,2.0,0.243,32.77942,-91.56123000000001,-17.285,1,0.297,0.0,151.55100000000002,0.37799999999999995,0.09927000000000001,173.482,1.0,4.0,0.804,0
124,0.37225120799999994,0.816,1.06691,0.065,0.5946600000000001,338.33751,0.0,2409,2.0,0.626,37.15735675013362,-63.93335786851952,-14.248,0,0.575,0.0,328.986,0.065,0.5946600000000001,130.02700000000002,1.0,4.0,0.509,1995
125,0.326848818,0.024,0.7197899999999999,0.49,0.17426,126.51057,0.0,2210,11.0,0.228,42.31256,-71.08868000000001,-12.651,1,0.374,0.0,121.70200000000001,0.0,0.17426,110.16799999999999,0.959851413,4.0,0.92,0
127,0.363177861,0.057999999999999996,0.6282300000000001,0.535,0.6282300000000001,193.4624,2.717,3223,0.0,0.373,37.15735675013362,-63.93335786851952,-5.912999999999999,0,0.5479999999999999,0.0,184.274,0.218,0.6282300000000001,119.979,1.0,4.0,1.0,2007
130,0.49839533799999997,0.016,0.65257,0.0,0.20769,292.8322,3.344,3460,9.0,0.295,42.73383,-84.59334,-4.953,1,0.196,0.0,273.589,0.105,0.20769,133.306,1.0,4.0,0.33799999999999997,2001
131,0.30150246199999997,0.17800000000000002,0.9239799999999999,0.618,0.9239799999999999,241.10975,2.659,924,4.0,0.965,40.71455,-74.00712,-18.114,1,0.7440000000000001,0.0,230.429,0.618,0.9239799999999999,152.267,1.0,3.0,1.0,1990
132,0.45966545700000006,0.111,0.72495,1.0,0.36318,270.68036,0.33399999999999996,3583,1.0,0.33,42.99671,-85.59012,-11.061,1,0.526,0.0,267.906,1.0,0.36318,166.275,1.0,4.0,0.845,0
137,0.44689072700000004,0.0,0.032119999999999996,0.0,0.032119999999999996,301.81832,2.5660000000000003,3216,10.0,0.6829999999999999,54.313919999999996,-2.23218,-8.095,0,0.5489999999999999,0.0,289.332,0.124,0.032119999999999996,61.971000000000004,0.9082281940000001,1.0,0.397,1991
138,0.5079658020000001,0.151,0.34798,0.387,0.34798,416.80933999999996,0.0,3884,6.0,0.644,37.15735675013362,-63.93335786851952,-7.982,0,0.607,1.0,396.533,0.69,0.0276,124.04,1.0,5.0,0.82,1997
139,0.424931835,0.04,0.47648999999999997,0.0,0.16066,413.36118,0.0,2197,7.0,0.055999999999999994,37.15735675013362,-63.93335786851952,-8.804,0,0.306,0.0,408.50300000000004,1.0,0.16066,191.196,1.0,4.0,0.0,0
141,0.682263177,0.49700000000000005,0.71063,1.0,0.10910999999999998,217.36444,0.22399999999999998,3898,10.0,0.805,37.15735675013362,-63.93335786851952,-5.152,0,0.688,1.0,212.16099999999997,0.5379999999999999,0.10910999999999998,100.023,1.0,4.0,0.937,0
143,0.383877494,0.368,0.7864899999999999,0.382,0.38868,203.98975,0.161,2754,11.0,0.23600000000000002,39.150929999999995,-123.2079,-11.975999999999999,0,0.384,0.0,182.921,0.732,0.19413,154.322,0.983628765,4.0,0.0,1988
144,0.339408486,0.10800000000000001,0.55637,0.787,0.2978,192.44363,0.485,496,5.0,0.084,37.15735675013362,-63.93335786851952,-10.229,1,0.405,0.0,178.66,0.787,0.2978,236.00599999999997,1.0,4.0,0.7609999999999999,0
145,0.382869956,0.09699999999999999,0.9460700000000001,0.35700000000000004,0.15349000000000002,285.36118,0.0,997,11.0,0.321,52.1082,5.32986,-6.284,1,0.42100000000000004,0.0,274.715,0.688,0.15349000000000002,150.666,1.0,5.0,1.0,0
149,0.544446277,0.057999999999999996,0.64194,0.826,0.26421,204.06812,0.415,3257,6.0,0.606,35.66693,-80.46935,-5.157,1,0.514,0.0,193.562,0.89,0.07628,160.165,1.0,4.0,1.0,0
152,0.350327605,0.47700000000000004,0.20197,0.868,0.20197,127.9473,0.165,1969,0.0,0.655,37.15735675013362,-63.93335786851952,-12.717,1,0.525,0.0,123.22200000000001,0.485,0.20197,135.78,0.995553751,4.0,0.087,2001
155,0.39570954799999997,0.13699999999999998,0.8988799999999999,0.27899999999999997,0.48245,240.74403999999998,0.0,2632,2.0,0.735,50.45663,4.87137,-4.878,0,0.838,1.0,240.74400000000003,0.37799999999999995,0.48245,135.535,1.0,7.0,0.583,2010
156,0.38070453600000004,0.322,0.1659,1.0,0.1659,192.20853,0.35700000000000004,3016,2.0,0.523,37.77916,-122.42005,-23.988000000000003,1,0.537,1.0,183.229,0.511,0.1659,139.189,0.920584126,3.0,0.418,1989
158,0.409134869,0.031,1.07333,0.541,0.35811,215.30077000000003,0.588,2896,3.0,0.445,37.15735675013362,-63.93335786851952,-9.741,0,0.496,0.0,208.37599999999998,0.315,0.18068,163.445,0.910303408,4.0,0.015,2004
161,0.60797181,0.562,2.24039,0.23800000000000002,1.67818,428.56444000000005,4.2669999999999995,3842,4.0,0.743,47.603559999999995,-122.32943999999999,-8.402999999999999,0,0.727,1.0,414.69699999999995,0.069,1.67818,105.994,0.954857727,3.0,1.0,2006
163,0.574274731,0.02,0.8015899999999999,0.385,0.29973,654.28853,3.048,3748,7.0,0.539,37.15735675013362,-63.93335786851952,-5.8839999999999995,0,0.617,1.0,638.462,0.35100000000000003,0.29973,118.43299999999999,0.9998636259999999,4.0,0.802,2009
164,0.433945514,0.198,1.1645,0.603,0.5406,306.72934,0.0,2766,11.0,0.0,36.690940000000005,-6.134869999999999,-6.928999999999999,1,0.23199999999999998,0.0,276.149,0.33799999999999997,0.22825,96.007,1.0,4.0,0.9059999999999999,0
167,0.37943697200000004,0.025,0.9881200000000001,1.0,0.17951,127.05913999999999,0.322,3055,2.0,0.826,37.15735675013362,-63.93335786851952,-12.772,1,0.9359999999999999,0.0,114.72399999999999,0.6759999999999999,0.17951,148.357,1.0,4.0,0.09699999999999999,0
168,0.512226738,0.042,0.89966,0.8059999999999999,0.46147,44.35546,0.0,3762,1.0,0.0,34.23294,-102.4102,-18.147000000000002,0,0.0,0.0,44.355,0.418,0.46147,136.164,0.999989369,4.0,0.68,0
171,0.476559379,0.37,0.8203799999999999,0.0,0.042460000000000005,140.66893000000002,0.078,3559,6.0,0.006,37.15735675013362,-63.93335786851952,-28.346999999999998,0,0.127,1.0,135.285,0.0,0.042460000000000005,89.495,0.999743837,4.0,0.614,1986
173,0.360583582,0.185,0.7081,0.0,0.09479,254.79791,0.0,2047,10.0,0.647,37.15735675013362,-63.93335786851952,-7.309,1,0.54,0.0,236.141,0.491,0.09479,107.529,0.96793713,3.0,1.0,1998
174,0.370194701,0.121,1.79615,0.866,0.5696100000000001,143.0722,0.32,65,0.0,0.675,34.011559999999996,-118.49229,-15.350999999999999,1,0.353,0.0,133.724,0.473,0.26777,99.40799999999999,0.9221646000000001,4.0,1.0,0
175,0.25060128600000003,0.147,0.9337700000000001,0.982,0.20126,163.49995,2.171,251,9.0,0.753,52.883559999999996,-1.97406,-25.694000000000003,1,0.629,0.0,156.21200000000002,0.23,0.20126,79.73100000000001,0.99891338,4.0,0.897,0
176,0.389765518,0.423,0.27257,0.423,0.27257,289.64526,0.0,1902,0.0,0.40299999999999997,37.15735675013362,-63.93335786851952,-9.435,1,0.578,0.0,286.18,0.765,0.27257,188.502,1.0,1.0,0.0,0
177,0.376688631,0.8490000000000001,0.30566,0.8490000000000001,0.30566,124.15955,0.38,2351,11.0,0.7240000000000001,38.43773,-122.71242,-4.793,1,0.583,0.0,122.015,0.12,0.10117999999999999,133.72899999999998,0.9018684029999999,1.0,0.046,1998
178,0.399451724,0.34299999999999997,0.6400899999999999,0.743,0.19422,167.3922,0.131,3434,4.0,0.6940000000000001,40.143229999999996,-74.72671,-17.623,0,0.591,0.0,163.149,0.38799999999999996,0.19422,139.136,0.916559613,4.0,0.63,0
185,0.297949266,0.018000000000000002,0.57605,0.815,0.15761,350.71955,0.519,394,10.0,0.8809999999999999,37.15735675013362,-63.93335786851952,-13.038,1,0.9009999999999999,0.0,334.17,0.47700000000000004,0.15761,152.013,1.0,4.0,1.0,2010
187,0.37346422799999995,0.904,1.65865,0.607,0.20148,190.24934,0.0,3325,4.0,0.441,37.15735675013362,-63.93335786851952,-4.172,0,0.326,1.0,185.28900000000002,0.479,0.20148,75.031,0.86898109,4.0,1.0,2005
191,0.33238987,0.38299999999999995,0.80806,0.38299999999999995,0.80806,187.53261,0.0,1112,11.0,0.6809999999999999,30.38815,-96.0878,-23.526999999999997,1,0.541,0.0,180.355,0.145,0.40014,97.98100000000001,1.0,1.0,0.0,2000
193,0.295470991,0.242,0.1805,0.737,0.1805,252.02892999999997,0.149,816,3.0,0.37200000000000005,37.15735675013362,-63.93335786851952,-8.639,1,0.467,0.0,252.02900000000002,0.8490000000000001,0.1805,168.32299999999998,1.0,4.0,0.484,0
194,0.389535576,0.43200000000000005,1.64757,0.153,0.3732,329.35138,0.0,2732,2.0,0.14400000000000002,37.15735675013362,-63.93335786851952,-7.672000000000001,1,0.287,1.0,316.883,0.29600000000000004,0.053810000000000004,111.079,0.906283576,4.0,0.599,2009
